candidate_id,candidate_file_sha256,work_id,source_edition_id,translation_source_id,book,segment_index,target_paragraph,proposed_source_start_ref,proposed_source_end_ref,proposed_source_line_count,review_decision,reviewed_source_start_ref,reviewed_source_end_ref,reviewer,reviewed_at,review_notes,source_text,target_text,review_status,paper_facing_eligible,analysis_status
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-001,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,1,1,2.1,2.14,14,,,,,,,"ἄλλοι μέν ῥα θεοί τε καὶ ἀνέρες ἱπποκορυσταὶ
εὗδον παννύχιοι, Δία δʼ οὐκ ἔχε νήδυμος ὕπνος,
ἀλλʼ ὅ γε μερμήριζε κατὰ φρένα ὡς Ἀχιλῆα
τιμήσῃ, ὀλέσῃ δὲ πολέας ἐπὶ νηυσὶν Ἀχαιῶν.
ἥδε δέ οἱ κατὰ θυμὸν ἀρίστη φαίνετο βουλή,
πέμψαι ἐπʼ Ἀτρεΐδῃ Ἀγαμέμνονι οὖλον ὄνειρον·
καί μιν φωνήσας ἔπεα πτερόεντα προσηύδα·
βάσκʼ ἴθι οὖλε ὄνειρε θοὰς ἐπὶ νῆας Ἀχαιῶν·
ἐλθὼν ἐς κλισίην Ἀγαμέμνονος Ἀτρεΐδαο
πάντα μάλʼ ἀτρεκέως ἀγορευέμεν ὡς ἐπιτέλλω·
θωρῆξαί ἑ κέλευε κάρη κομόωντας Ἀχαιοὺς
πανσυδίῃ· νῦν γάρ κεν ἕλοι πόλιν εὐρυάγυιαν
Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες
ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας","Now the other gods and the armed warriors on the plain slept
      soundly, but Jove was wakeful, for he was thinking how to do
      honour to Achilles, and destroyed much people at the ships of the
      Achaeans. In the end he deemed it would be best to send a lying
      dream to King Agamemnon; so he called one to him and said to it,
      “Lying Dream, go to the ships of the Achaeans, into the tent of
      Agamemnon, and say to him word for word as I now bid you. Tell
      him to get the Achaeans instantly under arms, for he shall take
      Troy. There are no longer divided counsels among the gods; Juno
      has brought them to her own mind, and woe betides the Trojans.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-002,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,2,2,2.15,2.20,6,,,,,,,"Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται.
ὣς φάτο, βῆ δʼ ἄρʼ ὄνειρος ἐπεὶ τὸν μῦθον ἄκουσε·
καρπαλίμως δʼ ἵκανε θοὰς ἐπὶ νῆας Ἀχαιῶν,
βῆ δʼ ἄρʼ ἐπʼ Ἀτρεΐδην Ἀγαμέμνονα· τὸν δὲ κίχανεν
εὕδοντʼ ἐν κλισίῃ, περὶ δʼ ἀμβρόσιος κέχυθʼ ὕπνος.
στῆ δʼ ἄρʼ ὑπὲρ κεφαλῆς Νηληΐῳ υἷι ἐοικώς","The dream went when it had heard its message, and soon reached
      the ships of the Achaeans. It sought Agamemnon son of Atreus and
      found him in his tent, wrapped in a profound slumber. It hovered
      over his head in the likeness of Nestor, son of Neleus, whom
      Agamemnon honoured above all his councillors, and said:—",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-003,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,3,3,2.21,2.32,12,,,,,,,"Νέστορι, τόν ῥα μάλιστα γερόντων τῖʼ Ἀγαμέμνων·
τῷ μιν ἐεισάμενος προσεφώνεε θεῖος ὄνειρος·
εὕδεις Ἀτρέος υἱὲ δαΐφρονος ἱπποδάμοιο·
οὐ χρὴ παννύχιον εὕδειν βουληφόρον ἄνδρα
ᾧ λαοί τʼ ἐπιτετράφαται καὶ τόσσα μέμηλε·
νῦν δʼ ἐμέθεν ξύνες ὦκα· Διὸς δέ τοι ἄγγελός εἰμι,
ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει.
θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς
πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν
Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες
ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας
Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται","“You are sleeping, son of Atreus; one who has the welfare of his
      host and so much other care upon his shoulders should dock his
      sleep. Hear me at once, for I come as a messenger from Jove, who,
      though he be not near, yet takes thought for you and pities you.
      He bids you get the Achaeans instantly under arms, for you shall
      take Troy. There are no longer divided counsels among the gods;
      Juno has brought them over to her own mind, and woe betides the
      Trojans at the hands of Jove. Remember this, and when you wake
      see that it does not escape you.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-004,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,4,4,2.33,2.46,14,,,,,,,"ἐκ Διός· ἀλλὰ σὺ σῇσιν ἔχε φρεσί, μηδέ σε λήθη
αἱρείτω εὖτʼ ἄν σε μελίφρων ὕπνος ἀνήῃ.
ὣς ἄρα φωνήσας ἀπεβήσετο, τὸν δὲ λίπʼ αὐτοῦ
τὰ φρονέοντʼ ἀνὰ θυμὸν ἅ ῥʼ οὐ τελέεσθαι ἔμελλον·
φῆ γὰρ ὅ γʼ αἱρήσειν Πριάμου πόλιν ἤματι κείνῳ
νήπιος, οὐδὲ τὰ ᾔδη ἅ ῥα Ζεὺς μήδετο ἔργα·
θήσειν γὰρ ἔτʼ ἔμελλεν ἐπʼ ἄλγεά τε στοναχάς τε
Τρωσί τε καὶ Δαναοῖσι διὰ κρατερὰς ὑσμίνας.
ἔγρετο δʼ ἐξ ὕπνου, θείη δέ μιν ἀμφέχυτʼ ὀμφή·
ἕζετο δʼ ὀρθωθείς, μαλακὸν δʼ ἔνδυνε χιτῶνα
καλὸν νηγάτεον, περὶ δὲ μέγα βάλλετο φᾶρος·
ποσσὶ δʼ ὑπὸ λιπαροῖσιν ἐδήσατο καλὰ πέδιλα,
ἀμφὶ δʼ ἄρʼ ὤμοισιν βάλετο ξίφος ἀργυρόηλον·
εἵλετο δὲ σκῆπτρον πατρώϊον ἄφθιτον αἰεὶ","The dream then left him, and he thought of things that were
      surely not to be accomplished. He thought that on that same day
      he was to take the city of Priam, but he little knew what was in
      the mind of Jove, who had many another hard-fought fight in store
      alike for Danaans and Trojans. Then presently he woke, with the
      divine message still ringing in his ears; so he sat upright, and
      put on his soft shirt so fair and new, and over this his heavy
      cloak. He bound his sandals on to his comely feet, and slung his
      silver-studded sword about his shoulders; then he took the
      imperishable staff of his father, and sallied forth to the ships
      of the Achaeans.",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-005,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,5,5,2.47,2.54,8,,,,,,,"σὺν τῷ ἔβη κατὰ νῆας Ἀχαιῶν χαλκοχιτώνων·
ἠὼς μέν ῥα θεὰ προσεβήσετο μακρὸν Ὄλυμπον
Ζηνὶ φόως ἐρέουσα καὶ ἄλλοις ἀθανάτοισιν·
αὐτὰρ ὃ κηρύκεσσι λιγυφθόγγοισι κέλευσε
κηρύσσειν ἀγορὴν δὲ κάρη κομόωντας Ἀχαιούς·
οἳ μὲν ἐκήρυσσον, τοὶ δʼ ἠγείροντο μάλʼ ὦκα·
βουλὴν δὲ πρῶτον μεγαθύμων ἷζε γερόντων
Νεστορέῃ παρὰ νηῒ Πυλοιγενέος βασιλῆος·","The goddess Dawn now wended her way to vast Olympus that she
      might herald day to Jove and to the other immortals, and
      Agamemnon sent the criers round to call the people in assembly;
      so they called them and the people gathered thereon. But first he
      summoned a meeting of the elders at the ship of Nestor king of
      Pylos, and when they were assembled he laid a cunning counsel
      before them.",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-006,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,6,6,2.55,2.74,20,,,,,,,"τοὺς ὅ γε συγκαλέσας πυκινὴν ἀρτύνετο βουλήν·
κλῦτε φίλοι· θεῖός μοι ἐνύπνιον ἦλθεν ὄνειρος
ἀμβροσίην διὰ νύκτα· μάλιστα δὲ Νέστορι δίῳ
εἶδός τε μέγεθός τε φυήν τʼ ἄγχιστα ἐῴκει·
στῆ δʼ ἄρʼ ὑπὲρ κεφαλῆς καί με πρὸς μῦθον ἔειπεν·
εὕδεις Ἀτρέος υἱὲ δαΐφρονος ἱπποδάμοιο·
οὐ χρὴ παννύχιον εὕδειν βουληφόρον ἄνδρα,
ᾧ λαοί τʼ ἐπιτετράφαται καὶ τόσσα μέμηλε·
νῦν δʼ ἐμέθεν ξύνες ὦκα· Διὸς δέ τοι ἄγγελός εἰμι,
ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει·
θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς
πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν
Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες
ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας
Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται
ἐκ Διός· ἀλλὰ σὺ σῇσιν ἔχε φρεσίν· ὣς ὃ μὲν εἰπὼν
ᾤχετʼ ἀποπτάμενος, ἐμὲ δὲ γλυκὺς ὕπνος ἀνῆκεν.
ἀλλʼ ἄγετʼ αἴ κέν πως θωρήξομεν υἷας Ἀχαιῶν·
πρῶτα δʼ ἐγὼν ἔπεσιν πειρήσομαι, ἣ θέμις ἐστί,
καὶ φεύγειν σὺν νηυσὶ πολυκλήϊσι κελεύσω·","“My friends,” said he, “I have had a dream from heaven in the
      dead of night, and its face and figure resembled none but
      Nestor’s. It hovered over my head and said, ‘You are sleeping,
      son of Atreus; one who has the welfare of his host and so much
      other care upon his shoulders should dock his sleep. Hear me at
      once, for I am a messenger from Jove, who, though he be not near,
      yet takes thought for you and pities you. He bids you get the
      Achaeans instantly under arms, for you shall take Troy. There are
      no longer divided counsels among the gods; Juno has brought them
      over to her own mind, and woe betides the Trojans at the hands of
      Jove. Remember this.’ The dream then vanished and I awoke. Let us
      now, therefore, arm the sons of the Achaeans. But it will be well
      that I should first sound them, and to this end I will tell them
      to fly with their ships; but do you others go about among the
      host and prevent their doing so.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-007,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,7,7,2.75,2.82,8,,,,,,,"ὑμεῖς δʼ ἄλλοθεν ἄλλος ἐρητύειν ἐπέεσσιν.
ἤτοι ὅ γʼ ὣς εἰπὼν κατʼ ἄρʼ ἕζετο, τοῖσι δʼ ἀνέστη
Νέστωρ, ὅς ῥα Πύλοιο ἄναξ ἦν ἠμαθόεντος,
ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν·
ὦ φίλοι Ἀργείων ἡγήτορες ἠδὲ μέδοντες
εἰ μέν τις τὸν ὄνειρον Ἀχαιῶν ἄλλος ἔνισπε
ψεῦδός κεν φαῖμεν καὶ νοσφιζοίμεθα μᾶλλον·
νῦν δʼ ἴδεν ὃς μέγʼ ἄριστος Ἀχαιῶν εὔχεται εἶναι·","He then sat down, and Nestor the prince of Pylos with all
      sincerity and goodwill addressed them thus: “My friends,” said
      he, “princes and councillors of the Argives, if any other man of
      the Achaeans had told us of this dream we should have declared it
      false, and would have had nothing to do with it. But he who has
      seen it is the foremost man among us; we must therefore set about
      getting the people under arms.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-008,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,8,8,2.83,2.109,27,,,,,,,"ἀλλʼ ἄγετʼ αἴ κέν πως θωρήξομεν υἷας Ἀχαιῶν.
ὣς ἄρα φωνήσας βουλῆς ἐξῆρχε νέεσθαι,
οἳ δʼ ἐπανέστησαν πείθοντό τε ποιμένι λαῶν
σκηπτοῦχοι βασιλῆες· ἐπεσσεύοντο δὲ λαοί.
ἠΰτε ἔθνεα εἶσι μελισσάων ἁδινάων
πέτρης ἐκ γλαφυρῆς αἰεὶ νέον ἐρχομενάων,
βοτρυδὸν δὲ πέτονται ἐπʼ ἄνθεσιν εἰαρινοῖσιν·
αἳ μέν τʼ ἔνθα ἅλις πεποτήαται, αἳ δέ τε ἔνθα·
ὣς τῶν ἔθνεα πολλὰ νεῶν ἄπο καὶ κλισιάων
ἠϊόνος προπάροιθε βαθείης ἐστιχόωντο
ἰλαδὸν εἰς ἀγορήν· μετὰ δέ σφισιν ὄσσα δεδήει
ὀτρύνουσʼ ἰέναι Διὸς ἄγγελος· οἳ δʼ ἀγέροντο.
τετρήχει δʼ ἀγορή, ὑπὸ δὲ στεναχίζετο γαῖα
λαῶν ἱζόντων, ὅμαδος δʼ ἦν· ἐννέα δέ σφεας
κήρυκες βοόωντες ἐρήτυον, εἴ ποτʼ ἀϋτῆς
σχοίατʼ, ἀκούσειαν δὲ διοτρεφέων βασιλήων.
σπουδῇ δʼ ἕζετο λαός, ἐρήτυθεν δὲ καθʼ ἕδρας
παυσάμενοι κλαγγῆς· ἀνὰ δὲ κρείων Ἀγαμέμνων
ἔστη σκῆπτρον ἔχων τὸ μὲν Ἥφαιστος κάμε τεύχων.
Ἥφαιστος μὲν δῶκε Διὶ Κρονίωνι ἄνακτι,
αὐτὰρ ἄρα Ζεὺς δῶκε διακτόρῳ ἀργεϊφόντῃ·
Ἑρμείας δὲ ἄναξ δῶκεν Πέλοπι πληξίππῳ,
αὐτὰρ ὃ αὖτε Πέλοψ δῶκʼ Ἀτρέϊ ποιμένι λαῶν,
Ἀτρεὺς δὲ θνῄσκων ἔλιπεν πολύαρνι Θυέστῃ,
αὐτὰρ ὃ αὖτε Θυέστʼ Ἀγαμέμνονι λεῖπε φορῆναι,
πολλῇσιν νήσοισι καὶ Ἄργεϊ παντὶ ἀνάσσειν.
τῷ ὅ γʼ ἐρεισάμενος ἔπεʼ Ἀργείοισι μετηύδα·","With this he led the way from the assembly, and the other
      sceptred kings rose with him in obedience to the word of
      Agamemnon; but the people pressed forward to hear. They swarmed
      like bees that sally from some hollow cave and flit in countless
      throng among the spring flowers, bunched in knots and clusters;
      even so did the mighty multitude pour from ships and tents to the
      assembly, and range themselves upon the wide-watered shore, while
      among them ran Wildfire Rumour, messenger of Jove, urging them
      ever to the fore. Thus they gathered in a pell-mell of mad
      confusion, and the earth groaned under the tramp of men as the
      people sought their places. Nine heralds went crying about among
      them to stay their tumult and bid them listen to the kings, till
      at last they were got into their several places and ceased their
      clamour. Then King Agamemnon rose, holding his sceptre. This was
      the work of Vulcan, who gave it to Jove the son of Saturn. Jove
      gave it to Mercury, slayer of Argus, guide and guardian. King
      Mercury gave it to Pelops, the mighty charioteer, and Pelops to
      Atreus, shepherd of his people. Atreus, when he died, left it to
      Thyestes, rich in flocks, and Thyestes in his turn left it to be
      borne by Agamemnon, that he might be lord of all Argos and of the
      isles. Leaning, then, on his sceptre, he addressed the Argives.",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-009,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,9,9,2.110,2.141,32,,,,,,,"ὦ φίλοι ἥρωες Δαναοὶ θεράποντες Ἄρηος
Ζεύς με μέγα Κρονίδης ἄτῃ ἐνέδησε βαρείῃ,
σχέτλιος, ὃς πρὶν μέν μοι ὑπέσχετο καὶ κατένευσεν
Ἴλιον ἐκπέρσαντʼ εὐτείχεον ἀπονέεσθαι,
νῦν δὲ κακὴν ἀπάτην βουλεύσατο, καί με κελεύει
δυσκλέα Ἄργος ἱκέσθαι, ἐπεὶ πολὺν ὤλεσα λαόν.
οὕτω που Διὶ μέλλει ὑπερμενέϊ φίλον εἶναι,
ὃς δὴ πολλάων πολίων κατέλυσε κάρηνα
ἠδʼ ἔτι καὶ λύσει· τοῦ γὰρ κράτος ἐστὶ μέγιστον.
αἰσχρὸν γὰρ τόδε γʼ ἐστὶ καὶ ἐσσομένοισι πυθέσθαι
μὰψ οὕτω τοιόνδε τοσόνδε τε λαὸν Ἀχαιῶν
ἄπρηκτον πόλεμον πολεμίζειν ἠδὲ μάχεσθαι
ἀνδράσι παυροτέροισι, τέλος δʼ οὔ πώ τι πέφανται·
εἴ περ γάρ κʼ ἐθέλοιμεν Ἀχαιοί τε Τρῶές τε
ὅρκια πιστὰ ταμόντες ἀριθμηθήμεναι ἄμφω,
Τρῶας μὲν λέξασθαι ἐφέστιοι ὅσσοι ἔασιν,
ἡμεῖς δʼ ἐς δεκάδας διακοσμηθεῖμεν Ἀχαιοί,
Τρώων δʼ ἄνδρα ἕκαστοι ἑλοίμεθα οἰνοχοεύειν,
πολλαί κεν δεκάδες δευοίατο οἰνοχόοιο.
τόσσον ἐγώ φημι πλέας ἔμμεναι υἷας Ἀχαιῶν
Τρώων, οἳ ναίουσι κατὰ πτόλιν· ἀλλʼ ἐπίκουροι
πολλέων ἐκ πολίων ἐγχέσπαλοι ἄνδρες ἔασιν,
οἵ με μέγα πλάζουσι καὶ οὐκ εἰῶσʼ ἐθέλοντα
Ἰλίου ἐκπέρσαι εὖ ναιόμενον πτολίεθρον.
ἐννέα δὴ βεβάασι Διὸς μεγάλου ἐνιαυτοί,
καὶ δὴ δοῦρα σέσηπε νεῶν καὶ σπάρτα λέλυνται·
αἳ δέ που ἡμέτεραί τʼ ἄλοχοι καὶ νήπια τέκνα
εἵατʼ ἐνὶ μεγάροις ποτιδέγμεναι· ἄμμι δὲ ἔργον
αὔτως ἀκράαντον οὗ εἵνεκα δεῦρʼ ἱκόμεσθα.
ἀλλʼ ἄγεθʼ ὡς ἂν ἐγὼ εἴπω πειθώμεθα πάντες·
φεύγωμεν σὺν νηυσὶ φίλην ἐς πατρίδα γαῖαν·
οὐ γὰρ ἔτι Τροίην αἱρήσομεν εὐρυάγυιαν.","“My friends,” he said, “heroes, servants of Mars, the hand of
      heaven has been laid heavily upon me. Cruel Jove gave me his
      solemn promise that I should sack the city of Priam before
      returning, but he has played me false, and is now bidding me go
      ingloriously back to Argos with the loss of much people. Such is
      the will of Jove, who has laid many a proud city in the dust, as
      he will yet lay others, for his power is above all. It will be a
      sorry tale hereafter that an Achaean host, at once so great and
      valiant, battled in vain against men fewer in number than
      themselves; but as yet the end is not in sight. Think that the
      Achaeans and Trojans have sworn to a solemn covenant, and that
      they have each been numbered—the Trojans by the roll of their
      householders, and we by companies of ten; think further that each
      of our companies desired to have a Trojan householder to pour out
      their wine; we are so greatly more in number that full many a
      company would have to go without its cup-bearer. But they have in
      the town allies from other places, and it is these that hinder me
      from being able to sack the rich city of Ilius. Nine of Jove’s
      years are gone; the timbers of our ships have rotted; their
      tackling is sound no longer. Our wives and little ones at home
      look anxiously for our coming, but the work that we came hither
      to do has not been done. Now, therefore, let us all do as I say:
      let us sail back to our own land, for we shall not take Troy.”",pending_human_review,no,excluded_until_completed_review
homer-iliad-grc-monro-allen-perseus--homer-iliad-en-butler-pg2199--book-02--segment-010,7a46a811b333f9638d310754b0e77a4da58d28b60963710ddce3ec25d5eb1d1c,homer-iliad,homer-iliad-grc-monro-allen-perseus,homer-iliad-en-butler-pg2199,2,10,10,2.142,2.155,14,,,,,,,"ὣς φάτο, τοῖσι δὲ θυμὸν ἐνὶ στήθεσσιν ὄρινε
πᾶσι μετὰ πληθὺν ὅσοι οὐ βουλῆς ἐπάκουσαν·
κινήθη δʼ ἀγορὴ φὴ κύματα μακρὰ θαλάσσης
πόντου Ἰκαρίοιο, τὰ μέν τʼ Εὖρός τε Νότος τε
ὤρορʼ ἐπαΐξας πατρὸς Διὸς ἐκ νεφελάων.
ὡς δʼ ὅτε κινήσῃ Ζέφυρος βαθὺ λήϊον ἐλθὼν
λάβρος ἐπαιγίζων, ἐπί τʼ ἠμύει ἀσταχύεσσιν,
ὣς τῶν πᾶσʼ ἀγορὴ κινήθη· τοὶ δʼ ἀλαλητῷ
νῆας ἔπʼ ἐσσεύοντο, ποδῶν δʼ ὑπένερθε κονίη
ἵστατʼ ἀειρομένη· τοὶ δʼ ἀλλήλοισι κέλευον
ἅπτεσθαι νηῶν ἠδʼ ἑλκέμεν εἰς ἅλα δῖαν,
οὐρούς τʼ ἐξεκάθαιρον· ἀϋτὴ δʼ οὐρανὸν ἷκεν
οἴκαδε ἱεμένων· ὑπὸ δʼ ᾕρεον ἕρματα νηῶν.
ἔνθά κεν Ἀργείοισιν ὑπέρμορα νόστος ἐτύχθη","With these words he moved the hearts of the multitude, so many of
      them as knew not the cunning counsel of Agamemnon. They surged to
      and fro like the waves of the Icarian Sea, when the east and
      south winds break from heaven’s clouds to lash them; or as when
      the west wind sweeps over a field of corn and the ears bow
      beneath the blast, even so were they swayed as they flew with
      loud cries towards the ships, and the dust from under their feet
      rose heavenward. They cheered each other on to draw the ships
      into the sea; they cleared the channels in front of them; they
      began taking away the stays from underneath them, and the welkin
      rang with their glad cries, so eager were they to return.",pending_human_review,no,excluded_until_completed_review
